Method,Mean IoU,Median IoU,Mean CE (px),TSR @ IoU>0.5,Mean FPS
Template (multi-scale),0.9680714026643553,1.0,2.7267700507358086,0.9733333333333334,10.669809160509063
Lucas-Kanade Sparse,0.5466861051638734,0.5380320942482829,10.573123052795031,0.5,10.710245487715465
Farneback Dense (ROI mag),,,,,10.50895692856719
