frame,gt_visible,tm_iou,tm_ce,tm_score,tm_lost,lk_iou,lk_ce,lk_points,dense_roi_mag,tm_smoothed_ce,fps_tm,fps_lk,fps_fb
0,True,1.0,0.0,1.0,False,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,True,1.0,0.0,0.9876482015941292,False,1.0,0.0,41,1.0469237565994263,1.0,19.855600148085593,22.114658977892024,11.83158328037898
2,True,1.0,0.0,0.9804494846612214,False,1.0,0.0,41,1.2186391353607178,1.4142135623730951,14.238109877236385,14.977262643230352,11.690818738872677
3,True,1.0,0.0,0.9694472603499888,False,1.0,0.0,41,1.2502177953720093,1.4142135623730951,13.593674863117563,14.038418058931144,11.968516816523547
4,True,1.0,0.0,0.9583396594971418,False,0.9736842105263158,1.0,41,1.0876426696777344,1.0,13.325095847924787,13.647496799033416,12.119847095846076
5,True,1.0,0.0,0.9570897476747631,False,0.9736842105263158,1.0,41,0.7328470349311829,1.0,13.162192677676114,13.412505853198835,12.205726286223838
6,True,1.0,0.0,0.9522760530933736,False,1.0,0.0,41,0.8211649060249329,1.4142135623730951,13.041903564429193,13.245793356798579,12.232006497767838
7,True,1.0,0.0,0.9469981329515575,False,0.9736842105263158,1.0,41,0.8858914375305176,1.0,13.00430079351539,13.181499209245048,12.315855050693042
8,True,1.0,0.0,0.9421306360512971,False,0.9736842105263158,1.0,41,1.1963205337524414,1.4142135623730951,12.976108295335985,13.12645853104369,12.382358711754101
9,True,1.0,0.0,0.942619257606566,False,0.971830985915493,1.0,41,0.8414201736450195,1.0,12.974485494086684,13.109597809369639,12.446736180517778
10,True,1.0,0.0,0.942907585389912,False,0.8641975308641975,0.5,41,0.8509069681167603,0.7071067811865476,12.954505455755575,13.07480734678497,12.468081057917104
11,True,1.0,0.0,0.9585926834493875,False,0.8641975308641975,0.5,41,0.9830760955810547,1.0,12.929596875742606,13.037635153517606,12.478699356494287
12,True,1.0,0.0,0.9608177963644267,False,0.8641975308641975,0.5,41,1.142962098121643,0.7071067811865476,12.927011632964282,13.0270899692915,12.516572502614904
13,True,1.0,0.0,0.9633800851181149,False,0.8641975308641975,0.5,41,1.2941615581512451,1.5811388300841898,12.943545651327565,13.035819721134759,12.568522618501694
14,True,1.0,0.0,0.9627675419673323,False,0.8641975308641975,1.118033988749895,41,1.2191781997680664,0.7071067811865476,12.967622710079842,13.055000206722406,12.627843281920521
15,True,1.0,0.0,0.9553793948143721,False,0.8641975308641975,1.118033988749895,41,1.2325721979141235,1.5811388300841898,12.989175982832787,13.069146348410905,12.662812106663772
16,True,1.0,0.0,0.9507256556302308,False,0.8641975308641975,1.118033988749895,41,1.199951171875,1.5811388300841898,12.992383418223094,13.068365418039852,12.688296048070656
17,True,1.0,0.0,0.9498865691944955,False,0.8641975308641975,2.0615528128088303,41,1.1303181648254395,0.7071067811865476,13.002755698488146,13.075243411044578,12.714573621911237
18,True,1.0,0.0,0.9540896093472838,False,0.8641975308641975,2.0615528128088303,41,0.9684248566627502,1.5811388300841898,13.012238676277892,13.079215872407977,12.737098352657826
19,True,1.0,0.0,0.9546198051422834,False,0.8641975308641975,3.0413812651491097,41,1.0900886058807373,0.7071067811865476,13.026017218642753,13.090338374196074,12.767441495319538
20,True,1.0,0.0,0.958281391300261,False,0.8641975308641975,3.0413812651491097,41,1.3157012462615967,1.5811388300841898,13.044413352479879,13.104336863778755,12.791201012632529
21,True,1.0,0.0,0.9516341147944332,False,0.8641975308641975,3.0413812651491097,41,1.1754027605056763,1.5811388300841898,13.048943693409257,13.106750553730507,12.811978017323668
